
Using Forward Euler method:

      i    xi          x                       y                       z                       
     43    0.430000    5.005575838904816       9.153579636052948       4.162297113121361       
     44    0.440000    5.212976028762223       9.462941722140728       4.495617570384898       
     45    0.450000    5.425474313431148       9.769144065435638       4.8540499268642865      
     46    0.460000    5.642657801031373       10.069972356064142      5.238450830970652       
     47    0.470000    5.864023528783011       10.362957146620293      5.649511386752688       
     48    0.480000    6.088970209674875       10.645372620737055      6.087712290505622       
     49    0.490000    6.316790330227984       10.914242009857192      6.553274489376018       
     50    0.500000    6.546662914209445       11.166351206633765      7.046106038591077       
     51    0.510000    6.7776473288306605      11.398272179566098      7.565746230748417       
     52    0.520000    7.008678571367432       11.606397764696641      8.111308533737175       
     53    0.530000    7.238564531033893       11.786989266332615      8.681424390767022       
     54    0.540000    7.465985767798829       11.93623800861212       9.274190483353536       
     55    0.550000    7.689498379839494       12.050341514365986      9.887122599786505       
     56    0.560000    7.9075405365658185      12.125594325132868      10.517119737305208      
     57    0.570000    8.11844322599417        12.15849260724285       11.160442431745459      
     58    0.580000    8.320445695056604       12.14585062414616       11.812709478248804      
     59    0.590000    8.511715941511081       12.084925931718665      12.468917099286115      
     60    0.600000    8.69037644102146        11.973548840422106      13.123484153357435      
     61    0.610000    8.854535060991493       11.81025039025211       13.770326096338952      
     62    0.620000    9.002320827454524       11.594381938772683      14.40295907504454       
     63    0.630000    9.131923883020432       11.326218631258376      15.014633762881964      
     64    0.640000    9.24163862043233        11.007038675715402      15.5984964142265        
     65    0.650000    9.329908623196483       10.639170640237712      16.14777225902054       
     66    0.660000    9.395371724048545       10.226002038231979      16.65596399025005       
     67    0.670000    9.436903239757717       9.771944307726475       17.117055974543224      
     68    0.680000    9.453655293156155       9.282351865325214       17.525713224270085      
     69    0.690000    9.445090121764608       8.763396053170995       17.877463375987677      
     70    0.700000    9.411005418334927       8.221898221807123       18.16885012965721       
     71    0.710000    9.351550058508536       7.665129545786678       18.397547912911744      
     72    0.720000    9.267229032872443       7.100588060448105       18.562429902048162      
     73    0.730000    9.158896984251227       6.535765470752082       18.663584763229238      
     74    0.740000    9.02774040857627        5.977917237099638       18.702281246930806      
     75    0.750000    8.875249250002438       5.433849148103569       18.680883659527773      
     76    0.760000    8.703179244907496       4.909732073255772       18.602724805505265      
     77    0.770000    8.51350688632491        4.410954041817713       18.47194584412027       
     78    0.780000    8.30837924409955        3.942015543589459       18.29331434489944       
     79    0.790000    8.090061059074046       3.506470394802096       18.07203251577522       
     80    0.800000    7.8608815258604485      3.10691107003449        17.813547136259807      
     81    0.810000    7.62318300306915        2.7449944263195727      17.523371320501266      
     82    0.820000    7.3792735742316715      2.4215014941537154      17.206926129428616      
     83    0.830000    7.131384970227773       2.1364236118565847      16.869407565403467      
     84    0.840000    6.881636902309214       1.8890666397656914      16.5156819307977        
     85    0.850000    6.6320083891820385      1.678165210875878       16.1502101798651        
     86    0.860000    6.38431623026673        1.5019997871446609      15.776999932038768      
     87    0.870000    6.140200408110627       1.3585104963287877      15.399582350266853      
     88    0.880000    5.9011159125215356      1.2454031252192823      15.021010146798654      
     89    0.890000    5.668330273156423       1.160244070473702       14.64387252439205       
     90    0.900000    5.442925963022287       1.100542367843577       14.270322814549452      
     91    0.910000    5.2258067832633515      1.0638180498296206      13.902114836386387      
     92    0.920000    5.017707346591665       1.0476569783529568      13.540644467104372      
     93    0.930000    4.81920482817973        1.049752955106977       13.186993494261136      
     94    0.940000    4.630732234526093       1.0679383447828203      12.841973434529777      
     95    0.950000    4.452592540038929       1.100204687338769       12.506167596670606      
     96    0.960000    4.284973147403921       1.1447148637433224      12.179970200604092      
     97    0.970000    4.127960233220891       1.1998083546473202      11.863621819111712      
     98    0.980000    3.9815526392922127      1.2640010292926502      11.557240776293064      
     99    0.990000    3.8456750587922346      1.3359807530498549      11.260850419346754      
    100    1.000000    3.7201903435051156      1.4145999302350516      10.974402385376655      
    101    1.010000    3.6049108228416125      1.4988659219228893      10.69779612381919       
